id;nombre;tipo_profesional;edad;antiguedad;tipo_contrato;turno_asignado;opcion_turno;preferencia;elegible_turno
46;Profesional_46;kinesiólogo;56;2403;reemplazo;diurno;4to_turno;2;0
46;Profesional_46;kinesiólogo;56;2403;reemplazo;diurno;diurno;2;0
47;Profesional_47;enfermero;36;2382;contratado;3er_turno;3er_turno;4;0
47;Profesional_47;enfermero;36;2382;contratado;3er_turno;4to_turno;4;0
47;Profesional_47;enfermero;36;2382;contratado;3er_turno;diurno;4;0
48;Profesional_48;enfermero;57;391;reemplazo;4to_turno;3er_turno;1;0
607;Profesional_607;auxiliar;25;1009;reemplazo;4to_turno;4to_turno;5;80
48;Profesional_48;enfermero;57;391;reemplazo;4to_turno;diurno;1;0
49;Profesional_49;enfermero;28;445;contratado;3er_turno;3er_turno;1;0
49;Profesional_49;enfermero;28;445;contratado;3er_turno;4to_turno;1;0
49;Profesional_49;enfermero;28;445;contratado;3er_turno;diurno;1;0
50;Profesional_50;kinesiólogo;56;2351;contratado;3er_turno;3er_turno;1;0
50;Profesional_50;kinesiólogo;56;2351;contratado;3er_turno;4to_turno;1;0
50;Profesional_50;kinesiólogo;56;2351;contratado;3er_turno;diurno;1;0
1375;Profesional_1375;auxiliar;39;243;contratado;4to_turno;4to_turno;4;60
1940;Profesional_1940;enfermero;39;93;contratado;4to_turno;4to_turno;5;60
2145;Profesional_2145;enfermero;39;738;contratado;4to_turno;4to_turno;4;60
52;Profesional_52;enfermero;33;3423;reemplazo;3er_turno;3er_turno;1;0
52;Profesional_52;enfermero;33;3423;reemplazo;3er_turno;4to_turno;1;0
52;Profesional_52;enfermero;33;3423;reemplazo;3er_turno;diurno;1;0
53;Profesional_53;kinesiólogo;50;3056;reemplazo;diurno;3er_turno;2;0
53;Profesional_53;kinesiólogo;50;3056;reemplazo;diurno;4to_turno;2;0
53;Profesional_53;kinesiólogo;50;3056;reemplazo;diurno;diurno;2;0
2265;Profesional_2265;enfermero;39;1344;contratado;4to_turno;4to_turno;4;60
2534;Profesional_2534;auxiliar;39;374;contratado;4to_turno;4to_turno;5;60
1017;Profesional_1017;auxiliar;38;1606;contratado;4to_turno;4to_turno;5;60
55;Profesional_55;auxiliar;55;3018;reemplazo;3er_turno;3er_turno;2;0
55;Profesional_55;auxiliar;55;3018;reemplazo;3er_turno;4to_turno;2;0
55;Profesional_55;auxiliar;55;3018;reemplazo;3er_turno;diurno;2;0
56;Profesional_56;kinesiólogo;28;1586;contratado;diurno;3er_turno;1;0
56;Profesional_56;kinesiólogo;28;1586;contratado;diurno;4to_turno;1;0
56;Profesional_56;kinesiólogo;28;1586;contratado;diurno;diurno;1;0
57;Profesional_57;enfermero;43;3009;contratado;3er_turno;3er_turno;4;0
57;Profesional_57;enfermero;43;3009;contratado;3er_turno;4to_turno;4;0
57;Profesional_57;enfermero;43;3009;contratado;3er_turno;diurno;4;0
58;Profesional_58;auxiliar;44;708;reemplazo;diurno;3er_turno;3;0
58;Profesional_58;auxiliar;44;708;reemplazo;diurno;4to_turno;3;0
58;Profesional_58;auxiliar;44;708;reemplazo;diurno;diurno;3;0
59;Profesional_59;auxiliar;50;3327;reemplazo;diurno;3er_turno;1;0
59;Profesional_59;auxiliar;50;3327;reemplazo;diurno;4to_turno;1;0
59;Profesional_59;auxiliar;50;3327;reemplazo;diurno;diurno;1;0
60;Profesional_60;kinesiólogo;59;1537;contratado;3er_turno;3er_turno;2;0
60;Profesional_60;kinesiólogo;59;1537;contratado;3er_turno;4to_turno;2;0
60;Profesional_60;kinesiólogo;59;1537;contratado;3er_turno;diurno;2;0
61;Profesional_61;kinesiólogo;41;2288;contratado;diurno;3er_turno;5;0
61;Profesional_61;kinesiólogo;41;2288;contratado;diurno;4to_turno;5;0
61;Profesional_61;kinesiólogo;41;2288;contratado;diurno;diurno;5;0
62;Profesional_62;auxiliar;50;308;contratado;3er_turno;3er_turno;2;0
62;Profesional_62;auxiliar;50;308;contratado;3er_turno;4to_turno;2;0
62;Profesional_62;auxiliar;50;308;contratado;3er_turno;diurno;2;0
63;Profesional_63;enfermero;55;1476;contratado;3er_turno;3er_turno;5;0
63;Profesional_63;enfermero;55;1476;contratado;3er_turno;4to_turno;5;0
63;Profesional_63;enfermero;55;1476;contratado;3er_turno;diurno;5;0
2340;Profesional_2340;matrona;38;1278;contratado;4to_turno;4to_turno;4;60
3031;Profesional_3031;kinesiólogo;38;832;contratado;4to_turno;4to_turno;5;60
813;Profesional_813;enfermero;37;157;contratado;4to_turno;4to_turno;5;60
857;Profesional_857;enfermero;37;1102;contratado;4to_turno;4to_turno;4;60
1984;Profesional_1984;enfermero;36;1452;contratado;4to_turno;4to_turno;4;60
2165;Profesional_2165;auxiliar;36;785;contratado;4to_turno;4to_turno;5;60
66;Profesional_66;enfermero;52;3078;reemplazo;4to_turno;3er_turno;2;0
624;Profesional_624;kinesiólogo;26;1792;reemplazo;4to_turno;4to_turno;4;75
66;Profesional_66;enfermero;52;3078;reemplazo;4to_turno;diurno;2;0
67;Profesional_67;enfermero;51;3029;reemplazo;3er_turno;3er_turno;5;0
67;Profesional_67;enfermero;51;3029;reemplazo;3er_turno;4to_turno;5;0
67;Profesional_67;enfermero;51;3029;reemplazo;3er_turno;diurno;5;0
68;Profesional_68;enfermero;32;1827;reemplazo;3er_turno;3er_turno;3;0
68;Profesional_68;enfermero;32;1827;reemplazo;3er_turno;4to_turno;3;0
68;Profesional_68;enfermero;32;1827;reemplazo;3er_turno;diurno;3;0
69;Profesional_69;matrona;55;958;contratado;diurno;3er_turno;1;0
69;Profesional_69;matrona;55;958;contratado;diurno;4to_turno;1;0
69;Profesional_69;matrona;55;958;contratado;diurno;diurno;1;0
70;Profesional_70;kinesiólogo;52;651;reemplazo;3er_turno;3er_turno;5;0
70;Profesional_70;kinesiólogo;52;651;reemplazo;3er_turno;4to_turno;5;0
70;Profesional_70;kinesiólogo;52;651;reemplazo;3er_turno;diurno;5;0
71;Profesional_71;matrona;54;527;contratado;diurno;3er_turno;1;0
71;Profesional_71;matrona;54;527;contratado;diurno;4to_turno;1;0
71;Profesional_71;matrona;54;527;contratado;diurno;diurno;1;0
72;Profesional_72;matrona;28;3039;contratado;diurno;3er_turno;3;0
72;Profesional_72;matrona;28;3039;contratado;diurno;4to_turno;3;0
72;Profesional_72;matrona;28;3039;contratado;diurno;diurno;3;0
73;Profesional_73;enfermero;28;3610;contratado;3er_turno;3er_turno;3;0
73;Profesional_73;enfermero;28;3610;contratado;3er_turno;4to_turno;3;0
73;Profesional_73;enfermero;28;3610;contratado;3er_turno;diurno;3;0
74;Profesional_74;enfermero;35;377;contratado;diurno;3er_turno;4;0
74;Profesional_74;enfermero;35;377;contratado;diurno;4to_turno;4;0
74;Profesional_74;enfermero;35;377;contratado;diurno;diurno;4;0
75;Profesional_75;auxiliar;26;57;reemplazo;3er_turno;3er_turno;1;0
75;Profesional_75;auxiliar;26;57;reemplazo;3er_turno;4to_turno;1;0
75;Profesional_75;auxiliar;26;57;reemplazo;3er_turno;diurno;1;0
896;Profesional_896;matrona;35;1299;contratado;4to_turno;4to_turno;5;60
639;Profesional_639;auxiliar;34;1722;contratado;4to_turno;4to_turno;4;60
855;Profesional_855;matrona;34;1447;contratado;4to_turno;4to_turno;4;60
77;Profesional_77;enfermero;31;1861;reemplazo;no;3er_turno;2;80
77;Profesional_77;enfermero;31;1861;reemplazo;no;4to_turno;5;100
77;Profesional_77;enfermero;31;1861;reemplazo;no;diurno;5;100
78;Profesional_78;kinesiólogo;28;2579;contratado;diurno;3er_turno;4;0
78;Profesional_78;kinesiólogo;28;2579;contratado;diurno;4to_turno;4;0
78;Profesional_78;kinesiólogo;28;2579;contratado;diurno;diurno;4;0
79;Profesional_79;kinesiólogo;31;381;reemplazo;diurno;3er_turno;5;0
79;Profesional_79;kinesiólogo;31;381;reemplazo;diurno;4to_turno;5;0
79;Profesional_79;kinesiólogo;31;381;reemplazo;diurno;diurno;5;0
80;Profesional_80;auxiliar;45;1036;contratado;3er_turno;3er_turno;1;0
80;Profesional_80;auxiliar;45;1036;contratado;3er_turno;4to_turno;1;0
80;Profesional_80;auxiliar;45;1036;contratado;3er_turno;diurno;1;0
81;Profesional_81;auxiliar;60;663;reemplazo;3er_turno;3er_turno;2;0
81;Profesional_81;auxiliar;60;663;reemplazo;3er_turno;4to_turno;2;0
81;Profesional_81;auxiliar;60;663;reemplazo;3er_turno;diurno;2;0
1003;Profesional_1003;enfermero;34;916;contratado;4to_turno;4to_turno;4;60
1340;Profesional_1340;enfermero;34;973;contratado;4to_turno;4to_turno;4;60
1421;Profesional_1421;auxiliar;34;866;contratado;4to_turno;4to_turno;4;60
3301;Profesional_3301;enfermero;34;846;contratado;4to_turno;4to_turno;5;60
2757;Profesional_2757;enfermero;33;1437;contratado;4to_turno;4to_turno;5;60
2930;Profesional_2930;matrona;33;1807;contratado;4to_turno;4to_turno;4;60
84;Profesional_84;enfermero;54;1762;reemplazo;3er_turno;3er_turno;4;0
84;Profesional_84;enfermero;54;1762;reemplazo;3er_turno;4to_turno;4;0
84;Profesional_84;enfermero;54;1762;reemplazo;3er_turno;diurno;4;0
85;Profesional_85;matrona;25;2651;reemplazo;3er_turno;3er_turno;4;0
85;Profesional_85;matrona;25;2651;reemplazo;3er_turno;4to_turno;4;0
85;Profesional_85;matrona;25;2651;reemplazo;3er_turno;diurno;4;0
86;Profesional_86;auxiliar;51;2031;reemplazo;diurno;3er_turno;3;0
86;Profesional_86;auxiliar;51;2031;reemplazo;diurno;4to_turno;3;0
86;Profesional_86;auxiliar;51;2031;reemplazo;diurno;diurno;3;0
87;Profesional_87;enfermero;59;1436;reemplazo;3er_turno;3er_turno;3;0
87;Profesional_87;enfermero;59;1436;reemplazo;3er_turno;4to_turno;3;0
87;Profesional_87;enfermero;59;1436;reemplazo;3er_turno;diurno;3;0
88;Profesional_88;enfermero;43;3613;reemplazo;diurno;3er_turno;1;0
88;Profesional_88;enfermero;43;3613;reemplazo;diurno;4to_turno;1;0
88;Profesional_88;enfermero;43;3613;reemplazo;diurno;diurno;1;0
89;Profesional_89;kinesiólogo;38;1533;reemplazo;4to_turno;3er_turno;1;0
706;Profesional_706;enfermero;27;31;reemplazo;4to_turno;4to_turno;4;75
89;Profesional_89;kinesiólogo;38;1533;reemplazo;4to_turno;diurno;1;0
90;Profesional_90;enfermero;42;3064;contratado;3er_turno;3er_turno;4;0
90;Profesional_90;enfermero;42;3064;contratado;3er_turno;4to_turno;4;0
90;Profesional_90;enfermero;42;3064;contratado;3er_turno;diurno;4;0
91;Profesional_91;enfermero;39;2142;reemplazo;4to_turno;3er_turno;3;0
902;Profesional_902;auxiliar;25;1761;reemplazo;4to_turno;4to_turno;5;80
91;Profesional_91;enfermero;39;2142;reemplazo;4to_turno;diurno;3;0
2608;Profesional_2608;enfermero;32;1107;contratado;4to_turno;4to_turno;4;60
2664;Profesional_2664;matrona;32;888;contratado;4to_turno;4to_turno;4;60
2491;Profesional_2491;kinesiólogo;31;726;contratado;4to_turno;4to_turno;4;60
93;Profesional_93;enfermero;56;1937;contratado;3er_turno;3er_turno;3;0
93;Profesional_93;enfermero;56;1937;contratado;3er_turno;4to_turno;3;0
93;Profesional_93;enfermero;56;1937;contratado;3er_turno;diurno;3;0
94;Profesional_94;enfermero;27;3581;reemplazo;3er_turno;3er_turno;5;0
94;Profesional_94;enfermero;27;3581;reemplazo;3er_turno;4to_turno;5;0
94;Profesional_94;enfermero;27;3581;reemplazo;3er_turno;diurno;5;0
95;Profesional_95;enfermero;51;2362;contratado;diurno;3er_turno;4;0
95;Profesional_95;enfermero;51;2362;contratado;diurno;4to_turno;4;0
95;Profesional_95;enfermero;51;2362;contratado;diurno;diurno;4;0
96;Profesional_96;enfermero;54;1176;reemplazo;3er_turno;3er_turno;4;0
96;Profesional_96;enfermero;54;1176;reemplazo;3er_turno;4to_turno;4;0
96;Profesional_96;enfermero;54;1176;reemplazo;3er_turno;diurno;4;0
97;Profesional_97;auxiliar;53;2238;reemplazo;diurno;3er_turno;2;0
97;Profesional_97;auxiliar;53;2238;reemplazo;diurno;4to_turno;2;0
97;Profesional_97;auxiliar;53;2238;reemplazo;diurno;diurno;2;0
98;Profesional_98;auxiliar;56;3240;contratado;diurno;3er_turno;1;0
98;Profesional_98;auxiliar;56;3240;contratado;diurno;4to_turno;1;0
98;Profesional_98;auxiliar;56;3240;contratado;diurno;diurno;1;0
2817;Profesional_2817;kinesiólogo;31;1401;contratado;4to_turno;4to_turno;5;60
3032;Profesional_3032;enfermero;31;407;contratado;4to_turno;4to_turno;4;60
3248;Profesional_3248;auxiliar;31;422;contratado;4to_turno;4to_turno;5;60
100;Profesional_100;enfermero;42;2214;reemplazo;3er_turno;3er_turno;2;0
100;Profesional_100;enfermero;42;2214;reemplazo;3er_turno;4to_turno;2;0
100;Profesional_100;enfermero;42;2214;reemplazo;3er_turno;diurno;2;0
101;Profesional_101;kinesiólogo;58;912;reemplazo;diurno;3er_turno;2;0
101;Profesional_101;kinesiólogo;58;912;reemplazo;diurno;4to_turno;2;0
101;Profesional_101;kinesiólogo;58;912;reemplazo;diurno;diurno;2;0
102;Profesional_102;enfermero;46;2675;contratado;3er_turno;3er_turno;1;0
102;Profesional_102;enfermero;46;2675;contratado;3er_turno;4to_turno;1;0
102;Profesional_102;enfermero;46;2675;contratado;3er_turno;diurno;1;0
103;Profesional_103;enfermero;41;37;reemplazo;4to_turno;3er_turno;3;0
1901;Profesional_1901;enfermero;26;933;reemplazo;4to_turno;4to_turno;4;75
103;Profesional_103;enfermero;41;37;reemplazo;4to_turno;diurno;3;0
104;Profesional_104;kinesiólogo;53;3263;reemplazo;diurno;3er_turno;2;0
104;Profesional_104;kinesiólogo;53;3263;reemplazo;diurno;4to_turno;2;0
104;Profesional_104;kinesiólogo;53;3263;reemplazo;diurno;diurno;2;0
105;Profesional_105;auxiliar;31;2320;reemplazo;diurno;3er_turno;5;0
105;Profesional_105;auxiliar;31;2320;reemplazo;diurno;4to_turno;5;0
105;Profesional_105;auxiliar;31;2320;reemplazo;diurno;diurno;5;0
106;Profesional_106;enfermero;37;406;reemplazo;4to_turno;3er_turno;3;0
2022;Profesional_2022;enfermero;25;597;reemplazo;4to_turno;4to_turno;5;80
106;Profesional_106;enfermero;37;406;reemplazo;4to_turno;diurno;3;0
107;Profesional_107;enfermero;49;1603;contratado;3er_turno;3er_turno;5;0
107;Profesional_107;enfermero;49;1603;contratado;3er_turno;4to_turno;5;0
107;Profesional_107;enfermero;49;1603;contratado;3er_turno;diurno;5;0
108;Profesional_108;enfermero;55;2604;contratado;diurno;3er_turno;4;0
108;Profesional_108;enfermero;55;2604;contratado;diurno;4to_turno;4;0
108;Profesional_108;enfermero;55;2604;contratado;diurno;diurno;4;0
109;Profesional_109;enfermero;60;1561;reemplazo;4to_turno;3er_turno;3;0
2060;Profesional_2060;enfermero;29;188;reemplazo;4to_turno;4to_turno;4;70
109;Profesional_109;enfermero;60;1561;reemplazo;4to_turno;diurno;3;0
110;Profesional_110;auxiliar;46;1282;reemplazo;diurno;3er_turno;5;0
110;Profesional_110;auxiliar;46;1282;reemplazo;diurno;4to_turno;5;0
110;Profesional_110;auxiliar;46;1282;reemplazo;diurno;diurno;5;0
111;Profesional_111;kinesiólogo;27;2618;reemplazo;diurno;3er_turno;4;0
111;Profesional_111;kinesiólogo;27;2618;reemplazo;diurno;4to_turno;4;0
111;Profesional_111;kinesiólogo;27;2618;reemplazo;diurno;diurno;4;0
112;Profesional_112;kinesiólogo;27;3259;reemplazo;diurno;3er_turno;1;0
112;Profesional_112;kinesiólogo;27;3259;reemplazo;diurno;4to_turno;1;0
112;Profesional_112;kinesiólogo;27;3259;reemplazo;diurno;diurno;1;0
113;Profesional_113;enfermero;45;3117;contratado;3er_turno;3er_turno;5;0
113;Profesional_113;enfermero;45;3117;contratado;3er_turno;4to_turno;5;0
113;Profesional_113;enfermero;45;3117;contratado;3er_turno;diurno;5;0
1988;Profesional_1988;matrona;30;1502;contratado;4to_turno;4to_turno;5;60
2068;Profesional_2068;enfermero;30;1440;contratado;4to_turno;4to_turno;4;60
2471;Profesional_2471;enfermero;30;1394;contratado;4to_turno;4to_turno;5;60
115;Profesional_115;kinesiólogo;37;2817;reemplazo;4to_turno;3er_turno;1;0
2191;Profesional_2191;kinesiólogo;29;1091;reemplazo;4to_turno;4to_turno;5;80
115;Profesional_115;kinesiólogo;37;2817;reemplazo;4to_turno;diurno;1;0
116;Profesional_116;auxiliar;60;661;contratado;diurno;3er_turno;5;0
116;Profesional_116;auxiliar;60;661;contratado;diurno;4to_turno;5;0
116;Profesional_116;auxiliar;60;661;contratado;diurno;diurno;5;0
117;Profesional_117;enfermero;39;1697;reemplazo;no;3er_turno;1;70
117;Profesional_117;enfermero;39;1697;reemplazo;no;4to_turno;4;100
117;Profesional_117;enfermero;39;1697;reemplazo;no;diurno;3;80
118;Profesional_118;auxiliar;53;1401;reemplazo;3er_turno;3er_turno;2;0
118;Profesional_118;auxiliar;53;1401;reemplazo;3er_turno;4to_turno;2;0
